datetime,dwords
2019-11-21T13:29:36+09:00,"['word47', 'word20', 'word9', 'word66']"
2019-11-21T13:27:58+09:00,"['word47', 'word20', 'word9', 'word66']"
2019-11-21T13:27:42+09:00,"['word47', 'word20', 'word9']"
2019-11-21T13:27:35+09:00,"['word47', 'word20', 'word26', 'word9']"
2019-11-21T13:24:30+09:00,"['word47', 'word26', 'word67']"
2019-11-21T13:24:24+09:00,"['word47', 'word40']"
2019-11-21T13:01:13+09:00,"['word47', 'word20', 'word26', 'word9']"
2019-11-21T13:01:02+09:00,"['word47', 'word20', 'word26', 'word9']"
2019-11-21T12:59:47+09:00,"['word47', 'word53']"
2019-11-21T12:59:39+09:00,"['word47', 'word20', 'word26', 'word9']"
2019-11-18T18:48:08+09:00,"['word47', 'word20', 'word26', 'word9']"
2019-11-18T18:47:58+09:00,"['word47', 'word53']"
2019-11-18T18:47:07+09:00,"['word47', 'word53']"
2019-11-18T18:46:56+09:00,"['word47', 'word13']"
2019-11-18T17:46:26+09:00,"['word68', 'word69']"
2019-11-18T17:28:10+09:00,"['word70', 'word71']"
2019-11-18T17:27:56+09:00,"['word70', 'word71']"
2019-11-18T17:27:37+09:00,"['word70', 'word68', 'word15']"
2019-11-18T17:26:28+09:00,"['word70', 'word68', 'word15']"
2019-11-18T17:24:53+09:00,"['word70', 'word26', 'word72']"
2019-11-18T17:24:39+09:00,"['word70', 'word26', 'word72']"
2019-11-18T17:23:42+09:00,"['word70', 'word26', 'word72']"
2019-11-18T17:17:45+09:00,"['word70', 'word68', 'word73']"
2019-11-18T17:17:11+09:00,"['word70', 'word68', 'word73']"
2019-11-18T17:17:11+09:00,"['word70', 'word68', 'word73']"
2019-11-18T17:17:00+09:00,"['word70', 'word73', 'word74']"
2019-11-18T17:16:41+09:00,"['word70', 'word73', 'word74']"
2019-11-18T17:16:41+09:00,"['word70', 'word73', 'word74']"
2019-11-18T17:16:30+09:00,"['word70', 'word73', 'word74']"
2019-11-18T17:16:29+09:00,"['word70', 'word73', 'word74']"
2019-11-18T17:16:19+09:00,"['word70', 'word75', 'word68', 'word73']"
2019-11-18T17:15:36+09:00,"['word70', 'word75', 'word68', 'word73']"
2019-11-18T17:15:30+09:00,"['word70', 'word75', 'word68', 'word76']"
2019-11-18T17:05:19+09:00,"['word70', 'word75', 'word68', 'word76']"
2019-11-18T17:05:14+09:00,"['word75', 'word68', 'word76']"
2019-11-18T17:01:22+09:00,"['word75', 'word68', 'word15']"
2019-11-18T17:00:48+09:00,"['word75', 'word68', 'word15']"
2019-11-18T17:00:27+09:00,"['word75', 'word68', 'word77']"
2019-11-18T17:00:18+09:00,"['word75', 'word68', 'word15']"
2019-11-18T17:00:08+09:00,"['word75', 'word68', 'word78']"
2019-11-18T16:59:50+09:00,"['word75', 'word68', 'word78']"
2019-11-18T16:59:23+09:00,"['word75', 'word68', 'word15']"
2019-11-18T16:50:49+09:00,"['word75', 'word68', 'word15']"
2019-11-18T16:49:31+09:00,"['word75', 'word68', 'word15']"
2019-11-18T16:49:24+09:00,"['word70', 'word68', 'word15']"
2019-11-18T16:48:48+09:00,"['word70', 'word68', 'word15']"
2019-11-18T16:48:39+09:00,"['word70', 'word68', 'word79']"
2019-11-18T16:45:25+09:00,"['word70', 'word68', 'word79']"
2019-11-18T15:58:32+09:00,"['word70', 'word80', 'word81']"
2019-11-18T15:58:23+09:00,"['word70', 'word80', 'word78']"
2019-11-18T15:52:41+09:00,"['word82', 'word83']"
2019-11-18T15:20:10+09:00,"['word80', 'word84']"
2019-11-18T15:13:37+09:00,"['word85', 'word80']"
2019-11-18T14:32:26+09:00,"['word6', 'word86', 'word87']"
2019-11-18T14:32:10+09:00,"['word6', 'word86']"
2019-11-18T14:29:41+09:00,"['word6', 'word86']"
2019-11-18T14:26:09+09:00,"['word6', 'word88']"
2019-11-18T14:25:07+09:00,"['word89', 'word47']"
2019-11-18T14:24:31+09:00,"['word89', 'word90']"
2019-11-18T14:24:23+09:00,['word89']
2019-11-18T14:13:06+09:00,['word91']
2019-11-18T14:12:57+09:00,"['word92', 'word93', 'word94', 'word95', 'word96', 'word91']"
2019-11-18T14:12:50+09:00,"['word92', 'word93', 'word94', 'word95', 'word96']"
2019-11-18T14:12:30+09:00,"['word92', 'word93', 'word94', 'word95', 'word96']"
2019-11-18T13:54:33+09:00,"['word97', 'word98']"
2019-11-18T13:41:07+09:00,"['word99', 'word52']"
2019-11-18T13:40:49+09:00,"['word99', 'word52']"
2019-11-18T13:35:32+09:00,"['word99', 'word52']"
2019-11-18T13:32:11+09:00,"['word99', 'word52']"
2019-11-18T13:31:31+09:00,"['word33', 'word100', 'word99']"
2019-11-18T13:30:45+09:00,"['word33', 'word100', 'word99']"
2019-11-18T13:30:32+09:00,"['word33', 'word100', 'word99']"
